,Reported_Date,Zip Code,DVFlag,Latitude,Longitude
2089,1/12/2020,64153,Y,39.281602,-94.71439
3309,2/24/2020,64153,Y,39.281602,-94.71439
3498,3/3/2020,64153,Y,39.281602,-94.71439
3930,1/31/2020,64153,Y,39.281602,-94.71439
4527,1/24/2020,64153,Y,39.281602,-94.71439
6229,1/14/2020,64153,Y,39.281602,-94.71439
7579,1/7/2020,64153,Y,39.281602,-94.71439
7682,3/3/2020,64153,Y,39.281602,-94.71439
9744,1/19/2020,64153,Y,39.281602,-94.71439
11548,1/14/2020,64153,Y,39.281602,-94.71439
14330,1/7/2020,64153,Y,39.281602,-94.71439
15141,1/19/2020,64153,Y,39.281602,-94.71439
16571,2/24/2020,64153,Y,39.281602,-94.71439
17758,1/24/2020,64153,Y,39.281602,-94.71439
18354,1/31/2020,64153,Y,39.281602,-94.71439
20013,4/6/2020,64153,Y,39.281602,-94.71439
20374,3/15/2020,64153,Y,39.281602,-94.71439
21920,4/29/2020,64153,Y,39.281602,-94.71439
22769,4/27/2020,64153,Y,39.281602,-94.71439
23097,5/22/2020,64153,Y,39.281602,-94.71439
23703,3/23/2020,64153,Y,39.281602,-94.71439
24583,4/27/2020,64153,Y,39.281602,-94.71439
24997,5/15/2020,64153,Y,39.281602,-94.71439
25730,3/23/2020,64153,Y,39.281602,-94.71439
26203,4/29/2020,64153,Y,39.281602,-94.71439
27452,5/20/2020,64153,Y,39.281602,-94.71439
28212,5/22/2020,64153,Y,39.281602,-94.71439
28281,4/11/2020,64153,Y,39.281602,-94.71439
28649,5/15/2020,64153,Y,39.281602,-94.71439
28808,4/27/2020,64153,Y,39.281602,-94.71439
31509,5/20/2020,64153,Y,39.281602,-94.71439
31885,4/27/2020,64153,Y,39.281602,-94.71439
32040,4/6/2020,64153,Y,39.281602,-94.71439
32592,4/11/2020,64153,Y,39.281602,-94.71439
33052,3/15/2020,64153,Y,39.281602,-94.71439
37708,6/13/2020,64153,Y,39.281602,-94.71439
38676,7/2/2020,64153,Y,39.281602,-94.71439
39253,7/7/2020,64153,Y,39.281602,-94.71439
39723,6/28/2020,64153,Y,39.281602,-94.71439
42277,6/9/2020,64153,Y,39.281602,-94.71439
43468,7/5/2020,64153,Y,39.281602,-94.71439
47081,6/9/2020,64153,Y,39.281602,-94.71439
47090,7/5/2020,64153,Y,39.281602,-94.71439
48923,7/2/2020,64153,Y,39.281602,-94.71439
49589,6/13/2020,64153,Y,39.281602,-94.71439
50115,6/11/2020,64153,Y,39.281602,-94.71439
51181,6/28/2020,64153,Y,39.281602,-94.71439
51739,7/7/2020,64153,Y,39.281602,-94.71439
52490,7/2/2020,64153,Y,39.281602,-94.71439
52814,7/2/2020,64153,Y,39.281602,-94.71439
54610,9/4/2020,64153,Y,39.281602,-94.71439
77010,10/29/2020,64153,Y,39.281602,-94.71439
80741,10/29/2020,64153,Y,39.281602,-94.71439
81012,11/4/2020,64153,Y,39.281602,-94.71439
84216,11/4/2020,64153,Y,39.281602,-94.71439
85082,11/11/2020,64153,Y,39.281602,-94.71439
1657,1/4/2020,64152,Y,39.216635,-94.69991
4169,1/7/2020,64152,Y,39.216635,-94.69991
11391,2/8/2020,64152,Y,39.216635,-94.69991
11666,2/8/2020,64152,Y,39.216635,-94.69991
12072,1/6/2020,64152,Y,39.216635,-94.69991
12330,1/4/2020,64152,Y,39.216635,-94.69991
15962,1/4/2020,64152,Y,39.216635,-94.69991
16792,1/6/2020,64152,Y,39.216635,-94.69991
17405,1/7/2020,64152,Y,39.216635,-94.69991
22293,5/16/2020,64152,Y,39.216635,-94.69991
24391,5/7/2020,64152,Y,39.216635,-94.69991
24811,5/17/2020,64152,Y,39.216635,-94.69991
25991,5/16/2020,64152,Y,39.216635,-94.69991
26005,5/6/2020,64152,Y,39.216635,-94.69991
26457,4/21/2020,64152,Y,39.216635,-94.69991
26901,5/10/2020,64152,Y,39.216635,-94.69991
29599,5/17/2020,64152,Y,39.216635,-94.69991
29657,5/6/2020,64152,Y,39.216635,-94.69991
30378,5/7/2020,64152,Y,39.216635,-94.69991
31787,4/21/2020,64152,Y,39.216635,-94.69991
31955,4/9/2020,64152,Y,39.216635,-94.69991
33783,5/6/2020,64152,Y,39.216635,-94.69991
35427,4/9/2020,64152,Y,39.216635,-94.69991
39651,6/16/2020,64152,Y,39.216635,-94.69991
39831,6/13/2020,64152,Y,39.216635,-94.69991
